"filename", "language", "YAML", "JSON", "Swift", "Markdown", "XML", "C++", "Dart", "HTML", "CMake", "Java Properties", "comment", "blank", "total"
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 6, 16
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 6, 28
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 7, 41
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 7, 16, 72
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 9, 34
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 10, 44
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 2, 17
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 2, 10, 66
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6, 6, 20
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 24, 55, 289
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 32, 248, 73, 13, 478, 576, 4262, 19, 469, 8, 380, 861, 7419
